"time","latitude","longitude","sst"
"2022-01-01T00:00:00Z",1.979165963,-91.562499293,24.98
"2022-01-01T00:00:00Z",1.979165963,-91.520832626,24.875
"2022-01-01T00:00:00Z",1.979165963,-91.479165959,24.7
"2022-01-01T00:00:00Z",1.979165963,-91.437499292,24.505
"2022-01-01T00:00:00Z",1.979165963,-91.395832625,24.295
"2022-01-01T00:00:00Z",1.979165963,-91.354165958,24.195
"2022-01-01T00:00:00Z",1.979165963,-91.312499291,24.41
"2022-01-01T00:00:00Z",1.979165963,-91.270832624,24.44
"2022-01-01T00:00:00Z",1.979165963,-91.229165957,24.495
"2022-01-01T00:00:00Z",1.979165963,-91.18749929,24.47
"2022-01-01T00:00:00Z",1.979165963,-91.145832623,24.52
"2022-01-01T00:00:00Z",1.979165963,-91.104165956,24.455
"2022-01-01T00:00:00Z",1.979165963,-91.062499289,24.4
"2022-01-01T00:00:00Z",1.979165963,-91.020832622,24.43
"2022-01-01T00:00:00Z",1.979165963,-90.979165955,24.545
"2022-01-01T00:00:00Z",1.979165963,-90.937499288,24.705
"2022-01-01T00:00:00Z",1.979165963,-90.895832621,25.08
"2022-01-01T00:00:00Z",1.979165963,-90.854165954,25.265
"2022-01-01T00:00:00Z",1.979165963,-90.812499287,24.855
"2022-01-01T00:00:00Z",1.979165963,-90.77083262,24.74
"2022-01-01T00:00:00Z",1.979165963,-90.729165953,24.72
"2022-01-01T00:00:00Z",1.979165963,-90.687499286,25.145
"2022-01-01T00:00:00Z",1.979165963,-90.645832619,25.855
"2022-01-01T00:00:00Z",1.979165963,-90.604165952,25.855
"2022-01-01T00:00:00Z",1.979165963,-90.562499285,24.59
"2022-01-01T00:00:00Z",1.979165963,-90.520832618,24.445
"2022-01-01T00:00:00Z",1.979165963,-90.479165951,24.57
"2022-01-01T00:00:00Z",1.979165963,-90.437499284,24.495
"2022-01-01T00:00:00Z",1.979165963,-90.395832617,24.28
"2022-01-01T00:00:00Z",1.979165963,-90.35416595,24.215
"2022-01-01T00:00:00Z",1.979165963,-90.312499283,24.425
"2022-01-01T00:00:00Z",1.979165963,-90.270832616,24.48
"2022-01-01T00:00:00Z",1.979165963,-90.229165949,24.93
"2022-01-01T00:00:00Z",1.979165963,-90.187499282,25.23
"2022-01-01T00:00:00Z",1.979165963,-90.145832615,24.925
"2022-01-01T00:00:00Z",1.979165963,-90.104165948,24.83
"2022-01-01T00:00:00Z",1.979165963,-90.062499281,24.455
"2022-01-01T00:00:00Z",1.979165963,-90.020832614,24.36
"2022-01-01T00:00:00Z",1.979165963,-89.979165947,24.36
"2022-01-01T00:00:00Z",1.979165963,-89.93749928,24.435
"2022-01-01T00:00:00Z",1.979165963,-89.895832613,24.485
